9.240137338638305664e-01,1.286079734563827515e-01,2.505154609680175781e-01
9.120388031005859375e-01,1.117138564586639404e-01,2.495809942483901978e-01
9.149326086044311523e-01,1.185059249401092529e-01,2.281446307897567749e-01
9.170080423355102539e-01,1.363428235054016113e-01,2.464771717786788940e-01
8.141088485717773438e-01,1.819804310798645020e-01,1.328632831573486328e-01
8.720553517341613770e-01,1.928872913122177124e-01,1.335869282484054565e-01
7.455725073814392090e-01,2.657071948051452637e-01,8.805931359529495239e-02
9.025811553001403809e-01,1.056343317031860352e-01,2.331336587667465210e-01
9.069383144378662109e-01,8.897958695888519287e-02,2.780555784702301025e-01
5.382339954376220703e-01,3.328411877155303955e-01,8.724136650562286377e-02
1.995936036109924316e-02,9.491626024246215820e-01,8.270686119794845581e-02
2.034439146518707275e-02,9.514937996864318848e-01,7.693386077880859375e-02
4.302002489566802979e-02,7.731065154075622559e-01,2.068317979574203491e-01
3.353433683514595032e-02,9.608356952667236328e-01,4.647589474916458130e-02
2.461235411465167999e-02,8.743752241134643555e-01,9.063363075256347656e-02
4.080079868435859680e-02,9.609742164611816406e-01,4.673312604427337646e-02
3.133168816566467285e-02,9.598744511604309082e-01,4.532419890165328979e-02
3.617410734295845032e-02,9.642051458358764648e-01,4.452165961265563965e-02
1.960126124322414398e-02,9.163770675659179688e-01,1.041675731539726257e-01
2.287195622920989990e-02,9.572849869728088379e-01,6.217074394226074219e-02
3.154451400041580200e-02,9.628656506538391113e-01,5.128361284732818604e-02
2.775954082608222961e-02,9.610107541084289551e-01,5.135875940322875977e-02
3.213122487068176270e-02,9.641439914703369141e-01,4.234157130122184753e-02
3.356720879673957825e-02,9.646103978157043457e-01,5.198786407709121704e-02
3.138343617320060730e-02,9.641959667205810547e-01,4.916337877511978149e-02
2.999308891594409943e-02,9.628921747207641602e-01,5.041408166289329529e-02
3.024047426879405975e-02,2.943820655345916748e-01,7.791668772697448730e-01
