5.394363403320312500e-01,2.657216787338256836e-02,5.683849453926086426e-01,5.692890286445617676e-02,9.684888273477554321e-02,5.519444867968559265e-02,4.594710841774940491e-02,2.147117070853710175e-02
1.002221181988716125e-01,1.626693457365036011e-02,5.390654206275939941e-01,3.649431765079498291e-01,8.968417346477508545e-02,2.383217215538024902e-02,3.410657495260238647e-02,3.895478695631027222e-02
3.804569244384765625e-01,4.621120169758796692e-02,4.447225332260131836e-01,3.282439708709716797e-02,1.533811390399932861e-01,2.615667507052421570e-02,3.406687080860137939e-02,2.010531350970268250e-02
3.481861054897308350e-01,9.600584954023361206e-02,1.161962896585464478e-01,2.617257535457611084e-01,9.011064469814300537e-02,2.643418684601783752e-02,3.295718878507614136e-02,1.647816598415374756e-02
4.985088109970092773e-02,2.987472526729106903e-02,6.297920346260070801e-01,7.670002430677413940e-02,1.765121072530746460e-01,1.851624995470046997e-02,2.357304841279983521e-02,5.045910552144050598e-02
8.450826406478881836e-01,5.193367972970008850e-02,3.299518823623657227e-01,7.759476453065872192e-02,1.713206171989440918e-01,1.031886711716651917e-01,6.869749724864959717e-02,3.479637205600738525e-02
9.554230421781539917e-02,2.904679626226425171e-02,8.495739102363586426e-01,6.248103082180023193e-02,4.614573344588279724e-02,5.317252874374389648e-02,3.597588837146759033e-02,6.733406335115432739e-02
8.072978854179382324e-01,7.331814616918563843e-02,2.384624779224395752e-01,1.134279444813728333e-01,1.941133886575698853e-01,5.275572836399078369e-02,6.289402395486831665e-02,3.659275919198989868e-02
5.466459393501281738e-01,1.933477632701396942e-02,3.258361220359802246e-01,5.738624185323715210e-02,5.748176947236061096e-02,3.862285614013671875e-01,3.961613774299621582e-02,3.248623386025428772e-02
1.043369174003601074e-01,4.279157891869544983e-02,4.461286067962646484e-01,6.243288889527320862e-02,3.191196918487548828e-02,3.812274336814880371e-02,1.857770606875419617e-02,2.258351631462574005e-02
6.153151392936706543e-02,9.632822871208190918e-01,5.099193006753921509e-02,7.514479011297225952e-02,9.295195341110229492e-02,4.364990070462226868e-02,4.368388652801513672e-02,2.909261360764503479e-02
6.224223971366882324e-01,1.490764617919921875e-01,1.490494757890701294e-01,1.300646811723709106e-01,1.628001332283020020e-01,3.153792396187782288e-02,4.161361977458000183e-02,1.623583957552909851e-02
