9.960715770721435547e-01,4.362377803772687912e-03
9.958408474922180176e-01,5.705395713448524475e-03
9.959147572517395020e-01,5.679804366081953049e-03
9.960854053497314453e-01,4.833321552723646164e-03
9.960545301437377930e-01,5.065892823040485382e-03
9.961479902267456055e-01,6.117157172411680222e-03
9.960869550704956055e-01,4.578453488647937775e-03
9.959657192230224609e-01,5.269918125122785568e-03
9.947005510330200195e-01,8.860359899699687958e-03
9.962122440338134766e-01,4.717417992651462555e-03
7.047676015645265579e-03,9.947071671485900879e-01
9.877938777208328247e-03,9.943166375160217285e-01
3.916749060153961182e-01,8.641472458839416504e-01
9.925693869590759277e-01,1.798896491527557373e-02
4.108240902423858643e-01,8.591151237487792969e-01
7.313324511051177979e-02,9.786358475685119629e-01
8.192166686058044434e-03,9.945915341377258301e-01
9.099291563034057617e-01,3.158342540264129639e-01
1.999849267303943634e-02,9.919782876968383789e-01
2.662998437881469727e-02,9.890961050987243652e-01
9.916553497314453125e-01,1.923676952719688416e-02
9.957536458969116211e-01,7.433155551552772522e-03
9.962408542633056641e-01,4.738439340144395828e-03
9.939684867858886719e-01,1.114690396934747696e-02
9.956142902374267578e-01,6.591341458261013031e-03
9.943102598190307617e-01,9.342455305159091949e-03
9.947043061256408691e-01,1.083332765847444534e-02
9.960837364196777344e-01,5.342001561075448990e-03
5.364444106817245483e-02,9.796804785728454590e-01
9.806538224220275879e-01,5.618118494749069214e-02
9.959362745285034180e-01,5.854252725839614868e-03
9.930830001831054688e-01,9.020351804792881012e-03
9.960688352584838867e-01,4.757145419716835022e-03
9.533153772354125977e-01,1.641195565462112427e-01
9.935045242309570312e-01,1.362305879592895508e-02
9.961640834808349609e-01,4.750778898596763611e-03
9.918986558914184570e-01,9.493758901953697205e-03
